Date,Repo,RepoRate
2021-05-24,0,
2021-05-21,0,
2021-05-20,0,
2021-05-19,0,
2021-05-18,0,
2021-05-17,0,
2021-05-14,0,
2021-05-13,0,
2021-05-12,0,
2021-05-11,0,
2021-05-10,0,
2021-05-07,0,
2021-05-06,0,
2021-05-05,0,
2021-05-04,0,
2021-05-03,0,
2021-04-30,0,
2021-04-29,0,
2021-04-28,0,
2021-04-27,0,
2021-04-26,0,
2021-04-23,0,
2021-04-22,0,
2021-04-21,0,
2021-04-20,0,
2021-04-19,0,
2021-04-16,0,
2021-04-15,0,
2021-04-14,0,
2021-04-13,0,
2021-04-12,0,
2021-04-09,0,
2021-04-08,0,
2021-04-07,0,
2021-04-06,0,
2021-04-05,0,
2021-03-31,0,
2021-03-30,0,
2021-03-29,0,
2021-03-26,0,
2021-03-25,0,
2021-03-24,0,
2021-03-23,0,
2021-03-22,0,
2021-03-19,0,
2021-03-18,0,
2021-03-17,0,
2021-03-16,0,
2021-03-15,0,
2021-03-12,0,
2021-03-11,0,
2021-03-10,0,
2021-03-09,0,
2021-03-08,0,
2021-03-05,0,
2021-03-04,0,
2021-03-03,0,
2021-03-02,0,
2021-03-01,0,
2021-02-26,0,
2021-02-25,0,
2021-02-24,0,
2021-02-23,0,
2021-02-22,0,
2021-02-19,0,
2021-02-18,0,
2021-02-17,0,
2021-02-16,0,
2021-02-12,0,
2021-02-11,0,
2021-02-10,0,
2021-02-09,0,
2021-02-08,0,
2021-02-05,0,
2021-02-04,0,
2021-02-03,0,
2021-02-02,0,
2021-02-01,0,
2021-01-29,0,
2021-01-28,0,
2021-01-27,0,
2021-01-26,0,
2021-01-25,0,
2021-01-22,0,
2021-01-21,0,
2021-01-20,0,
2021-01-19,0,
2021-01-15,0,
2021-01-14,0,
2021-01-13,0,
2021-01-12,0,
2021-01-11,0,
2021-01-08,0,
2021-01-07,0,
2021-01-06,0,
2021-01-05,0,
2021-01-04,0,
2020-12-31,0,
2020-12-30,0,
2020-12-29,0,
2020-12-28,0,
2020-12-24,0,
2020-12-23,0,
2020-12-22,0,
2020-12-21,0,
2020-12-18,0,
2020-12-17,0,
2020-12-16,0,
2020-12-15,0,
2020-12-14,0,
2020-12-11,0,
2020-12-10,0,
2020-12-09,0,
2020-12-08,0,
2020-12-07,0,
2020-12-04,0,
2020-12-03,0,
2020-12-02,0,
2020-12-01,0,
2020-11-30,0,
2020-11-27,0,
2020-11-25,0,
2020-11-24,0,
2020-11-23,0,
2020-11-20,0,
2020-11-19,0,
2020-11-18,0,
2020-11-17,0,
2020-11-16,0,
2020-11-13,0,
2020-11-12,0,
2020-11-10,0,
2020-11-09,0,
2020-11-06,0,
2020-11-05,0,
2020-11-04,0,
2020-11-03,0,
2020-11-02,0,
2020-10-30,0,
2020-10-29,0,
2020-10-28,0,
2020-10-27,0,
2020-10-26,0,
2020-10-23,0,
2020-10-22,0,
2020-10-21,0,
2020-10-20,0,
2020-10-19,0,
2020-10-16,0,
2020-10-15,0,
2020-10-14,0,
2020-10-13,0,
2020-10-09,0,
2020-10-08,0,
2020-10-07,0,
2020-10-07,0.023,0.15
2020-10-06,0,
2020-10-05,0,
2020-10-02,0,
2020-10-01,0,
2020-09-30,0,
2020-09-29,0,
2020-09-28,0,
2020-09-25,0,
2020-09-24,0,
2020-09-23,0,
2020-09-22,0,
2020-09-21,0,
2020-09-18,0,
2020-09-17,0,
2020-09-16,0,
2020-09-15,0,
2020-09-14,0,
2020-09-11,0,
2020-09-10,0,
2020-09-09,0,
2020-09-08,0,
2020-09-04,0,
2020-09-03,0,
2020-09-02,0,
2020-09-01,0,
2020-08-31,0,
2020-08-28,0,
2020-08-27,0,
2020-08-26,0,
2020-08-25,0,
2020-08-24,0,
2020-08-21,0,
2020-08-20,0,
2020-08-19,0,
2020-08-18,0,
2020-08-17,0,
2020-08-14,0,
2020-08-13,0,
2020-08-12,0,
2020-08-11,0,
2020-08-10,0,
2020-08-07,0,
2020-08-06,0,
2020-08-05,0,
2020-08-04,0,
2020-08-03,0,
2020-07-31,0,
2020-07-30,0,
2020-07-29,0,
2020-07-28,0,
2020-07-27,0,
2020-07-24,0,
2020-07-23,0,
2020-07-22,0,
2020-07-21,0,
2020-07-20,0,
2020-07-17,0,
2020-07-16,0,
2020-07-15,0,
2020-07-14,0,
2020-07-13,0,
2020-07-10,0,
2020-07-09,0,
2020-07-08,0,
2020-07-07,0,
2020-07-06,0,
2020-07-01,0,
2020-06-30,0,
2020-06-29,6.5,0.15
2020-06-26,0,
2020-06-25,0,
2020-06-24,0,
2020-06-23,0,
2020-06-22,0,
2020-06-19,0,
2020-06-18,0,
2020-06-17,0.024,0.15
2020-06-17,0,
2020-06-16,0,
2020-06-15,14.75,0.1
2020-06-12,18.25,0.1
2020-06-11,10.25,0.1
2020-06-10,19.25,0.1
2020-06-09,22.5,0.1
2020-06-08,21.5,0.1
2020-06-05,45,0.1
2020-06-04,16.5,0.1
2020-06-03,10.75,0.1
2020-06-02,13.75,0.1
2020-06-01,4,0.1
2020-05-29,0,
2020-05-28,7.5,0.1
2020-05-27,6.25,0.1
2020-05-26,11.5,0.1
2020-05-22,0.5,0.1
2020-05-21,0,
2020-05-20,0,
2020-05-19,0,
2020-05-18,0,
2020-05-15,8.5,0.1
2020-05-14,7,0.1
2020-05-13,0.5,0.1
2020-05-12,24.25,0.1
2020-05-11,20.5,0.1
2020-05-08,15,0.1
2020-05-07,16.75,0.1
2020-05-06,6.5,0.1
2020-05-05,6,0.1
2020-05-04,6,0.1
2020-05-01,4,0.1
2020-05-01,0,
2020-04-30,2.25,0.1
2020-04-30,0,
2020-04-29,0,
2020-04-29,0,
2020-04-28,0,
2020-04-28,0,
2020-04-27,0,
2020-04-27,0,
2020-04-24,0,
2020-04-24,1.5,0.1
2020-04-23,0.8,0.1
2020-04-23,0,
2020-04-22,0,
2020-04-22,0,
2020-04-21,0,
2020-04-21,0,
2020-04-20,5,0.1
2020-04-20,0,
2020-04-17,9.1,0.1
2020-04-17,0.5,0.1
2020-04-16,14.9,0.1
2020-04-16,7.5,0.1
2020-04-15,8.8,0.1
2020-04-15,10.5,0.1
2020-04-14,8,0.1
2020-04-14,11.1,0.1
2020-04-13,9.5,0.1
2020-04-13,12,0.1
2020-04-08,5.5,0.1
2020-04-08,0.65,0.1
2020-04-07,10.4,0.1
2020-04-07,0,
2020-04-06,12.5,0.1
2020-04-06,0,
2020-04-03,0.2,0.1
2020-04-03,0,
2020-04-02,0.7,0.1
2020-04-02,0,
2020-04-01,0.55,0.1
2020-04-01,0,
2020-03-31,0.325,0.1
2020-03-31,0,
2020-03-30,0,
2020-03-30,0.5,0.1
2020-03-27,5,0.1
2020-03-27,1.5,0.1
2020-03-26,10,0.1
2020-03-26,2,0.1
2020-03-25,0,
2020-03-25,0,
2020-03-24,0,
2020-03-24,10.5,0.1
2020-03-23,0,
2020-03-23,11.5,0.1
2020-03-20,0.05,0.1
2020-03-20,3.5,0.1
2020-03-19,7.5,0.1
2020-03-19,21.24,0.1
2020-03-18,8.55,0.1
2020-03-18,43.475,0.1
2020-03-17,4.6,0.1
2020-03-17,85.55,0.1
2020-03-16,14.05,0.1
2020-03-16,86.75,0.107
2020-03-13,22.75,1.1
2020-03-12,73.25,1.108
2020-03-11,94.875,1.105
2020-03-10,95.225,1.102
2020-03-09,73.982,1.103
2020-03-06,65.257,1.1
2020-03-05,68.107,1.11
2020-03-04,80.777,1.126
2020-03-03,69.558,1.607
2020-03-02,28.14,1.6
2020-02-28,8.19,1.6
2020-02-27,12.54,1.6
2020-02-26,17.09,1.6
2020-02-25,24.51,1.6
2020-02-24,17.85,1.6
2020-02-21,16.35,1.6
2020-02-20,20.65,1.6
2020-02-19,25.5,1.6
2020-02-18,27.5,1.6
2020-02-14,23.35,1.6
2020-02-13,17.95,1.6
2020-02-12,12.3,1.6
2020-02-11,12.315,1.6
2020-02-10,17.25,1.6
2020-02-07,18.35,1.6
2020-02-06,20.9,1.6
2020-02-05,24.3,1.6
2020-02-04,32.35,1.6
2020-02-03,38.3,1.6
2020-01-31,28.202,1.6
2020-01-30,28.175,1.6
2020-01-29,32.475,1.55
2020-01-28,37.15,1.55
2020-01-27,26.5,1.55
2020-01-24,28.5,1.55
2020-01-23,22.55,1.55
2020-01-22,31.45,1.55
2020-01-21,24.75,1.55
2020-01-17,10.88,1.55
2020-01-16,18.3,1.55
2020-01-15,26.5,1.55
2020-01-14,22.5,1.55
2020-01-13,30.5,1.55
2020-01-10,23,1.55
2020-01-09,24.2,1.55
2020-01-08,30.55,1.55
2020-01-07,41.5,1.55
2020-01-06,44.9,1.55
2020-01-03,31.3,1.55
2020-01-02,15.25,1.551
2019-12-31,15.25,1.551
2019-12-30,7.4,1.55
2019-12-30,15.5,1.55
2019-12-27,15,1.55
2019-12-26,13,1.55
2019-12-24,9.5,1.55
2019-12-23,11.25,1.55
2019-12-20,16.75,1.55
2019-12-19,15.75,1.55
2019-12-18,0.024,1.55
2019-12-18,17.25,1.55
2019-12-17,28.9,1.55
2019-12-16,23.5,1.55
2019-12-13,35.35,1.55
2019-12-12,37.35,1.55
2019-12-11,25.35,1.55
2019-12-10,27.35,1.55
2019-12-09,40.35,1.55
2019-12-06,56.1,1.55
2019-12-05,61.25,1.55
2019-12-04,54.9,1.55
2019-12-03,65.5,1.55
2019-12-02,52.95,1.55
2019-11-29,61.55,1.553
2019-11-27,64.75,1.55
2019-11-26,56.25,1.55
2019-11-25,55.5,1.55
2019-11-22,64.4,1.55
2019-11-21,60.5,1.55
2019-11-20,63.6,1.55
2019-11-19,66.5,1.55
2019-11-18,55.543,1.55
2019-11-15,61.043,1.55
2019-11-14,62.043,1.55
2019-11-13,67.843,1.55
2019-11-12,65.693,1.55
2019-11-08,63.543,1.55
2019-11-07,71.342,1.55
2019-11-06,55.042,1.55
2019-11-05,63.293,1.55
2019-11-04,66.833,1.551
2019-11-01,61.383,1.55
2019-10-31,55.283,1.569
2019-10-30,49.6,1.8
2019-10-29,50.483,1.801
2019-10-28,66.833,1.801
2019-10-25,67.593,1.801
2019-10-24,71.154,1.804
2019-10-23,42.254,1.803
2019-10-22,54.404,1.808
2019-10-21,50.95,1.804
2019-10-18,47.95,1.805
2019-10-17,67.7,1.812
2019-10-16,72.592,1.823
2019-10-15,59.95,1.824
2019-10-11,58.35,1.803
2019-10-10,37.6,1.802
2019-10-09,26.25,1.801
2019-10-08,31.75,1.801
2019-10-07,36,1.803
2019-10-04,29.5,1.802
2019-10-03,28,1.806
2019-10-02,35,1.808
2019-10-01,50,1.818
2019-09-30,49.75,1.896
2019-09-27,14.45,1.801
2019-09-26,34.55,1.812
2019-09-25,44.35,1.856
2019-09-24,58.75,1.851
2019-09-23,49.7,1.816
2019-09-20,59.15,1.823
2019-09-19,55.843,1.845
2019-09-18,51.55,2.215
2019-09-17,40.85,2.481
2019-05-13,0.023,2.37
2018-11-15,0.023,2.27
2018-05-16,0.023,1.72
2017-11-20,0.023,1.09
2017-05-24,0.022,0.79
2016-12-07,0.021,0.27
2016-05-25,0.22,0.28
2015-12-02,0.22,0.1
2015-05-20,0.22,0.06
2015-05-19,0.22,0.06
2013-06-27,0.21,0.02
2013-06-25,0.21,0.03
2013-01-17,0.21,0.1
2012-08-03,0.21,0.17
2008-10-08,0,
2008-09-22,0,
2008-09-19,0,
2008-09-18,2.862,2.5
2008-09-18,0,
2008-09-16,0,
2008-09-15,0,
2008-09-15,0,
2008-09-12,0.25,2.25
2008-09-11,3.391,2.1
2008-09-10,6.166,2.015
2008-09-08,7.49,2.045
2008-09-05,0.6,2.06
2008-09-04,1.5,2.057
2008-09-02,2.289,2.031
2008-08-29,1.57,1.899
2008-08-28,4.715,2.035
2008-08-27,3.881,2.013
2008-08-25,4.861,2.008
2008-08-22,1.75,2.023
2008-08-20,1.711,1.929
2008-08-19,2.569,1.95
2008-08-18,7.676,2.112
2008-08-15,7.027,2.169
2008-08-14,6.546,2.109
2008-08-13,12.564,2.019
2008-08-11,6.138,1.994
2008-08-08,0.25,1.95
2008-08-07,0.25,1.96
2008-08-06,0.45,1.983
2008-08-05,0.2,2.03
2008-08-04,8,2.12
2008-08-01,2.322,2.137
2008-07-28,0.462,2.16
2008-07-25,4.833,2.035
2008-07-24,0.231,2.022
2008-07-23,5.627,1.941
2008-07-22,1.702,1.885
2008-07-21,5.58,1.926
2008-07-18,3.384,1.879
2008-07-17,0,
2008-07-16,0.495,1.964
2008-07-15,0.086,1.95
2008-07-11,0.531,1.96
2008-07-10,0.2,2.04
2008-07-09,2,2.03
2008-07-08,3.2,2.149
2008-07-07,12.007,2.15
2008-07-03,7.488,2.109
2008-07-02,0,
2008-07-01,0,
2008-06-26,0,
2008-06-25,1.037,1.918
2008-06-24,3.404,1.934
2008-06-23,0.53,1.958
2008-06-20,1.044,1.98
2008-06-19,0.2,2
2008-06-18,0.5,1.95
2008-06-16,2.578,2.2
2008-06-11,3.6,2.084
2008-06-10,4.4,2.146
2008-06-09,5.5,2.109
2008-06-06,3.245,2.068
2008-06-05,2.35,2.054
2008-05-30,2.875,2.184
2008-05-29,8.05,2.353
2008-05-28,5.714,2.255
2008-05-22,9.217,2.105
2008-05-21,0,
2008-05-19,2.095,2.014
2008-05-16,3.75,2.05
2008-05-15,4.4,2.031
2008-05-14,0,
2008-05-12,0.187,2.09
2008-05-09,3.5,2.06
2008-05-08,8.127,2.03
2008-05-07,10.642,1.886
2008-05-05,0.3,1.98
2008-05-02,3.56,1.893
2008-05-01,4,1.917
2008-04-30,0.15,1.97
2008-04-29,0.424,2.059
2008-04-25,3.966,1.931
2008-04-24,12.5,2.04
2008-04-23,3.208,1.985
2008-04-22,5.65,2.082
2008-04-21,11.565,2.148
2008-04-18,4.8,2.168
2008-04-17,6.992,2.19
2008-04-16,7.25,2.22
2008-04-15,16.55,2.201
2008-04-14,11,2.302
2008-04-10,7.225,2.291
2008-04-09,2.9,2.017
2008-04-07,7.121,2.342
2008-04-04,2.9,2.3
2008-04-01,4,2.675
2008-03-27,3.642,0.871
2008-03-26,2.85,0.32
2008-03-25,0.95,1.079
2008-03-18,0.313,0.9
2008-03-17,11,2.1
2008-03-14,2.7,2.796
2008-03-13,4,2.272
2008-03-11,2.7,2.636
2008-03-10,0,
2008-03-07,0.15,2.5
2008-03-06,3.75,2.55
2008-03-05,0,
2008-03-04,6.04,2.892
2008-03-03,10.512,2.879
2008-02-29,7.25,2.069
2008-02-28,2.666,1.958
2008-02-27,2.089,2.199
2008-02-25,0,
2008-02-22,0.235,2.822
2008-02-21,6,2.83
2008-02-20,0.15,2.74
2008-02-19,8.06,2.907
2008-02-15,5.7,3.011
2008-02-14,8.25,3.1
2008-02-13,5.384,2.877
2008-02-11,3.65,2.878
2008-02-08,1.214,2.716
2008-02-07,2.456,2.478
2008-02-06,5.5,2.271
2008-02-05,6.75,2.664
2008-02-04,0,
2008-02-01,11.507,2.326
2008-01-31,0.2,2
2008-01-30,0.105,2.15
2008-01-28,0.25,2.33
2008-01-25,3.75,2.741
2008-01-24,6.25,2.42
2008-01-23,0,
2008-01-22,0,
2008-01-17,0.2,3.77
2008-01-16,0,
2008-01-15,0,
2008-01-14,0,
2008-01-11,0,
2008-01-10,2.655,4.238
2008-01-09,0,
2008-01-08,0,
2008-01-07,0.65,4
2008-01-04,5.205,4.01
2008-01-03,2.5,4.05
2008-01-02,2.692,3.999
2007-12-31,0.388,1.232
2007-12-28,1.15,3.72
2007-12-27,5.062,4.051
2007-12-26,0.2,4.32
2007-12-24,3.6,4.286
2007-12-21,6.75,3.7
2007-12-20,2,3.099
2007-12-19,3.189,3.346
2007-12-18,0.2,3.55
2007-12-17,7.5,3.953
2007-12-13,0.078,4.17
2007-12-12,0.6,4.25
2007-12-11,4.319,4.143
2007-12-10,8.07,4.283
2007-12-07,12,4.371
2007-12-06,5.35,4.428
2007-12-04,2.5,4.551
2007-12-03,8.75,4.251
2007-11-30,6.5,3.387
2007-11-29,4.75,3.158
2007-11-28,2.5,3.746
2007-11-27,8.3,4.096
2007-11-26,0.052,4.2
2007-11-23,2.75,4.203
2007-11-21,0,
2007-11-20,0.799,4.34
2007-11-19,2.8,4.321
2007-11-16,4.5,4.27
2007-11-15,7.865,4.167
2007-11-14,0,
2007-11-13,0,
2007-11-08,0,
2007-11-07,3.4,4.26
2007-11-05,0.273,4.5
2007-11-02,1.2,4.502
2007-11-01,7.16,4.451
2007-10-31,2,4.555
2007-10-30,0,
2007-10-29,1.172,4.75
2007-10-26,7.5,4.71
2007-10-25,6,4.58
2007-10-24,6.5,4.57
2007-10-22,0.918,4.67
2007-10-19,0.2,4.65
2007-10-18,2.226,4.186
2007-10-17,0,
2007-10-16,0,
2007-10-15,0.118,4.83
2007-10-12,0.2,4.77
2007-10-11,0.2,4.78
2007-10-10,2.079,4.75
2007-10-09,2.115,4.737
2007-10-03,2.25,4.76
2007-10-02,0,
2007-10-01,0,
2007-09-28,0,
2007-09-27,0,
2007-09-26,0,
2007-09-24,9.334,4.631
2007-09-21,2.859,4.631
2007-09-20,0.2,4.6
2007-09-19,8.67,4.69
2007-09-18,6.054,5.006
2007-09-17,10.786,5.19
2007-09-14,0.2,5.04
2007-09-13,5,4.912
2007-09-12,7.362,4.881
2007-09-10,2.07,4.957
2007-09-07,1,5.05
2007-09-06,5.981,5.182
2007-09-05,8.5,5.22
2007-08-29,0.2,5.35
2007-08-28,0,
2007-08-23,3.25,3.042
2007-08-22,0,
2007-08-21,0,
2007-08-20,0.2,4.33
2007-08-17,0,
2007-08-16,0,
2007-08-15,0,
2007-08-13,0.7,5.117
2007-08-09,4.1,5.187
2007-08-08,6.673,5.18
2007-08-07,1.126,5.172
2007-08-06,8.736,5.183
2007-08-03,5.47,5.18
2007-08-02,10.859,5.18
2007-08-01,3.239,5.14
2007-07-31,0.2,5.14
2007-07-30,4.724,5.179
2007-07-27,0.118,5.19
2007-07-26,7,5.22
2007-07-25,2.047,5.145
2007-07-24,5.791,5.161
2007-07-23,3.844,5.151
2007-07-20,1.1,5.142
2007-07-19,8.164,5.122
2007-07-18,3.606,5.117
2007-07-16,1.687,5.196
2007-07-13,0.069,5.17
2007-07-12,5.386,5.145
2007-07-10,4.144,5.108
2007-07-09,6.458,5.132
2007-07-06,6.805,5.104
2007-07-05,11.381,5.063
2007-07-03,9,5.108
2007-06-29,0.35,4.493
2007-06-28,1.156,4.989
2007-06-27,3.921,5.121
2007-06-26,8.078,5.1
2007-06-25,1.197,5.011
2007-06-22,0.2,5.01
2007-06-21,1.128,5.004
2007-06-20,0.75,4.944
2007-06-19,0.537,4.983
2007-06-18,0.3,5.07
2007-06-15,0,
2007-06-14,5.182,5.222
2007-06-13,3.039,5.191
2007-06-12,5.26,5.181
2007-06-11,8.173,5.175
2007-06-08,3.124,5.171
2007-06-07,6.25,5.16
2007-06-04,3.195,5.109
2007-06-01,5.478,5.111
2007-05-29,9.769,5.167
2007-05-24,7.25,5.15
2007-05-23,4.749,5.084
2007-05-21,2.077,5.143
2007-05-17,2.144,5.131
2007-05-16,0.499,5.134
2007-05-15,0,
2007-05-09,5.5,5.092
2007-05-03,6.406,5.135
2007-05-01,3.1,5.06
2007-04-30,1.98,5.12
2007-04-25,0,
2007-04-23,7.742,5.2
2007-04-20,4.609,5.161
2007-04-19,4.232,5.149
2007-04-18,1.182,5.17
2007-04-17,8.25,5.222
2007-04-16,5.748,5.26
2007-04-13,4.921,5.245
2007-04-12,6.98,5.25
2007-04-11,5.416,5.232
2007-04-10,6.023,5.26
2007-04-09,10,5.32
2007-04-04,5.902,5.253
2007-04-03,9.5,5.3
2007-04-02,4.25,5.328
2007-03-30,1.825,5.201
2007-03-29,8,5.283
2007-03-28,4.891,5.242
2007-03-27,6.068,5.24
2007-03-23,5.798,5.221
2007-03-22,8,5.233
2007-03-20,5.598,5.231
2007-03-19,4.92,5.237
2007-03-16,2.391,5.243
2007-03-15,5.902,5.301
2007-03-14,10.32,5.27
2007-03-12,4.233,5.245
2007-03-08,7.14,5.242
2007-03-07,4.109,5.223
2007-03-06,2.98,5.225
2007-03-05,4.454,5.235
2007-03-02,4.234,5.279
2007-03-01,4.597,5.28
2007-02-28,0.2,5.27
2007-02-27,4,5.25
2007-02-26,9.5,5.24
2007-02-23,0.2,5.24
2007-02-22,6.73,5.223
2007-02-21,7.088,5.24
2007-02-20,7.75,5.28
2007-02-15,6.886,5.311
2007-02-14,1.925,5.271
2007-02-12,9.5,5.233
2007-02-09,5.363,5.237
2007-02-08,7.5,5.232
2007-02-07,1.454,5.207
2007-02-06,0.585,5.203
2007-02-05,2.103,5.213
2007-02-02,2.995,5.223
2007-02-01,3.747,5.207
2007-01-31,9.541,5.231
2007-01-30,1.286,5.192
2007-01-29,5.25,5.24
2007-01-26,2.549,5.235
2007-01-25,1.419,5.23
2007-01-23,2.527,5.193
2007-01-22,4.3,5.223
2007-01-19,2,5.201
2007-01-18,5.043,5.244
2007-01-17,0.325,5.24
2007-01-16,8.469,5.27
2007-01-12,1.539,5.243
2007-01-11,8.5,5.232
2007-01-10,2.265,5.21
2007-01-09,2.402,5.177
2007-01-08,3.708,5.209
2007-01-05,7.465,5.222
2007-01-04,10.388,5.234
2007-01-03,11.75,5.261
2007-01-02,7.25,5.25
2006-12-27,0.32,5.26
2006-12-26,1.757,5.242
2006-12-21,4.099,5.24
2006-12-20,2.888,5.233
2006-12-18,8.75,5.25
2006-12-15,0.073,5.32
2006-12-13,0.25,5.25
2006-12-12,1.32,5.242
2006-12-11,2.517,5.255
2006-12-08,2.338,5.265
2006-12-07,5.382,5.254
2006-12-06,8.477,5.266
2006-12-04,7.624,5.308
2006-12-01,5.806,5.31
2006-11-30,5.426,5.314
2006-11-28,7.5,5.267
2006-11-27,7.25,5.27
2006-11-24,6.5,5.272
2006-11-22,11.75,5.26
2006-11-20,3.75,5.25
2006-11-17,1.954,5.246
2006-11-16,3,5.254
2006-11-15,4.064,5.271
2006-11-13,5.75,5.251
2006-11-10,2.75,5.251
2006-11-09,7.781,5.251
2006-11-08,6.77,5.238
2006-11-06,10.75,5.3
2006-11-02,2.453,5.294
2006-11-01,6.076,5.313
